HostGroup,VirusGenotype,DVGness,DVG_segment
Landfowl (Galliformes),D1.1,0.5847,DVGs_max
Landfowl (Galliformes),D1.1,0.5559000000000001,DVGs_max
Landfowl (Galliformes),D1.1,0.3986,DVGs_max
Landfowl (Galliformes),D1.1,0.62,DVGs_max
Landfowl (Galliformes),D1.1,0.7951999999999999,DVGs_max
Landfowl (Galliformes),D1.1,0.305,DVGs_max
Landfowl (Galliformes),D1.1,0.061799999999999994,DVGs_max
Landfowl (Galliformes),D1.1,0.451,DVGs_max
Landfowl (Galliformes),D1.1,0.6071,DVGs_max
Landfowl (Galliformes),D1.1,0.16829999999999998,DVGs_max
Landfowl (Galliformes),D1.1,0.3518,DVGs_max
Landfowl (Galliformes),D1.1,0.0707,DVGs_max
Landfowl (Galliformes),D1.1,0.5953,DVGs_max
Landfowl (Galliformes),D1.1,0.0944,DVGs_max
Landfowl (Galliformes),D1.1,0.52,DVGs_max
Landfowl (Galliformes),D1.1,0.0209,DVGs_max
Landfowl (Galliformes),D1.1,0.5533,DVGs_max
Landfowl (Galliformes),D1.1,0.698,DVGs_max
Landfowl (Galliformes),D1.1,0.1506,DVGs_max
Landfowl (Galliformes),D1.1,0.2802,DVGs_max
Landfowl (Galliformes),D1.1,0.4142,DVGs_max
Landfowl (Galliformes),D1.1,0.17850000000000002,DVGs_max
Landfowl (Galliformes),D1.1,0.0739,DVGs_max
Landfowl (Galliformes),D1.1,0.35200000000000004,DVGs_max
Landfowl (Galliformes),D1.1,0.2373,DVGs_max
Landfowl (Galliformes),D1.1,0.6086,DVGs_max
Landfowl (Galliformes),D1.1,0.2274,DVGs_max
Landfowl (Galliformes),D1.1,0.1143,DVGs_max
Landfowl (Galliformes),D1.1,0.8565999999999999,DVGs_max
Landfowl (Galliformes),D1.1,0.1066,DVGs_max
Landfowl (Galliformes),D1.1,0.068,DVGs_max
Landfowl (Galliformes),D1.1,0.30579999999999996,DVGs_max
Landfowl (Galliformes),D1.1,0.0378,DVGs_max
Landfowl (Galliformes),D1.1,0.4401,DVGs_max
Landfowl (Galliformes),D1.1,0.1246,DVGs_max
Landfowl (Galliformes),D1.1,0.1435,DVGs_max
Landfowl (Galliformes),D1.1,0.2899,DVGs_max
Landfowl (Galliformes),D1.1,0.9156,DVGs_max
Landfowl (Galliformes),D1.1,0.1417,DVGs_max
Landfowl (Galliformes),D1.1,0.9821,DVGs_max
Landfowl (Galliformes),D1.1,0.3746,DVGs_max
Landfowl (Galliformes),D1.1,0.1124,DVGs_max
Landfowl (Galliformes),D1.1,0.1813,DVGs_max
Landfowl (Galliformes),D1.1,0.0633,DVGs_max
Landfowl (Galliformes),D1.1,0.4007,DVGs_max
Landfowl (Galliformes),D1.1,0.40840000000000004,DVGs_max
Landfowl (Galliformes),D1.1,0.0305,DVGs_max
Landfowl (Galliformes),D1.1,0.17550000000000002,DVGs_max
Landfowl (Galliformes),D1.1,0.1491,DVGs_max
Landfowl (Galliformes),D1.1,0.139,DVGs_max
Landfowl (Galliformes),D1.1,0.4661,DVGs_max
Landfowl (Galliformes),D1.1,0.7756000000000001,DVGs_max
Landfowl (Galliformes),D1.1,0.5043,DVGs_max
Landfowl (Galliformes),D1.1,1e-4,DVGs_max
Landfowl (Galliformes),D1.1,0.086,DVGs_max
Landfowl (Galliformes),D1.1,0.3494,DVGs_max
Landfowl (Galliformes),D1.1,0.6011,DVGs_max
Landfowl (Galliformes),D1.1,0.042,DVGs_max
Landfowl (Galliformes),D1.1,0.7829,DVGs_max
Landfowl (Galliformes),D1.1,0.42310000000000003,DVGs_max
Landfowl (Galliformes),D1.1,0.8321999999999999,DVGs_max
Landfowl (Galliformes),D1.1,0.4587,DVGs_max
Landfowl (Galliformes),D1.1,0.8111,DVGs_max
Landfowl (Galliformes),D1.1,0.8371999999999999,DVGs_max
Landfowl (Galliformes),D1.1,0.1213,DVGs_max
Landfowl (Galliformes),D1.1,0.39020000000000005,DVGs_max
Landfowl (Galliformes),D1.1,0.6169,DVGs_max
Landfowl (Galliformes),D1.1,0.07429999999999999,DVGs_max
Landfowl (Galliformes),D1.1,0.7953,DVGs_max
Landfowl (Galliformes),D1.1,0.0649,DVGs_max
Landfowl (Galliformes),D1.1,0.07339999999999999,DVGs_max
Landfowl (Galliformes),D1.1,0.13269999999999998,DVGs_max
Landfowl (Galliformes),D1.1,0.4813,DVGs_max
Landfowl (Galliformes),D1.1,0.1017,DVGs_max
Landfowl (Galliformes),D1.1,0.47450000000000003,DVGs_max
Landfowl (Galliformes),D1.1,0.9161,DVGs_max
Landfowl (Galliformes),D1.1,0.32899999999999996,DVGs_max
Landfowl (Galliformes),D1.1,0.2509,DVGs_max
Landfowl (Galliformes),D1.1,0.2865,DVGs_max
Landfowl (Galliformes),D1.1,0.2009,DVGs_max
Landfowl (Galliformes),D1.1,0.8549,DVGs_max
Landfowl (Galliformes),D1.1,0.8406,DVGs_max
Landfowl (Galliformes),D1.1,0.5109,DVGs_max
Landfowl (Galliformes),D1.1,0.23420000000000002,DVGs_max
Landfowl (Galliformes),D1.1,0.9634,DVGs_max
Landfowl (Galliformes),D1.1,0.8737999999999999,DVGs_max
Landfowl (Galliformes),D1.1,0.7668,DVGs_max
Landfowl (Galliformes),D1.1,0.3944,DVGs_max
Landfowl (Galliformes),D1.1,0.6057,DVGs_max
